id,PartyName,VoteCount
9355,Democratic,466
9360,Democratic,166
5000,Democratic,341
5005,Democratic,107
9205,Democratic,291
9210,Democratic,112
9355,Democratic,307
9360,Democratic,125
5000,Democratic,587
5005,Democratic,361
9205,Democratic,571
9210,Democratic,168
9355,Democratic,654
9360,Democratic,137
5000,Democratic,512
5005,Democratic,303
9205,Democratic,480
9210,Democratic,130
9355,Democratic,565
9360,Democratic,103
5000,Democratic,468
5005,Democratic,376
9205,Democratic,536
9210,Democratic,120
9355,Democratic,612
9360,Democratic,103
5000,Democratic,196
5005,Democratic,129
9205,Democratic,209
9210,Democratic,62
9355,Democratic,233
9360,Democratic,53
5000,Democratic,426
5005,Democratic,213
9205,Democratic,440
9210,Democratic,102
9355,Democratic,481
9360,Democratic,95
5000,Democratic,312
5005,Democratic,187
9205,Democratic,362
9210,Democratic,78
9355,Democratic,395
9360,Democratic,67
5000,Democratic,954
5005,Democratic,273
9205,Democratic,846
9210,Democratic,237
9355,Democratic,884
9360,Democratic,234
5000,Democratic,607
5005,Democratic,203
9205,Democratic,569
9210,Democratic,151
9355,Democratic,646
9360,Democratic,125
5000,Democratic,364
5005,Democratic,268
9205,Democratic,394
9210,Democratic,95
9355,Democratic,459
9360,Democratic,79
5000,Democratic,375
5005,Democratic,327
9205,Democratic,512
9210,Democratic,85
